Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen
soccer,colombia,liga-aguila,Atl. Nacional - Cortulua,9,183,2092,1,43753,43738,1.44,4,6.78,0,0,0
soccer,usa,mls,Atlanta United - Philadelphia Union,9,293,2688,1,64273,64283,1.41,4.82,6.5,0,0,0
soccer,venezuela,copa-venezuela,Carabobo - Zamora,9,299,2716,1,64924,64909,1.94,3.35,3.57,0,1,0
soccer,usa,mls,New York Red Bulls - DC United,9,293,2688,1,64292,64285,1.51,4.24,5.69,0,0,0
soccer,usa,mls,Montreal Impact - New York City,9,293,2688,1,64284,64287,2.2,3.46,3.04,0,0,0
soccer,usa,usl-2017,Toronto FC 2 - Louisville City,9,293,0,0,0,0,NaN,NaN,NaN,0,0,0
basketball,argentina,torneo-super-20,Ferro - Obras Sanitarias,7,160,3877,1,97547,97541,1.41,0,2.8,0,0,0
basketball,usa,wnba,Minnesota Lynx W - Los Angeles Sparks W,7,293,3036,1,72225,72223,1.37,0,3.14,0,0,0
basketball,argentina,torneo-super-20,Atenas - Quimsa,7,160,3877,1,97549,97542,1.51,0,2.49,0,0,0
basketball,philippines,governors-cup,Rain or Shine Elasto Painters - TNT KaTropa,7,261,2973,2,70602,70609,2.72,0,1.44,0,1,0
basketball,czech-republic,zbl-women,Slavia Prague W - KP Brno W,7,187,2841,0,68238,68234,NaN,0,NaN,0,0,1
basketball,europe,champions-league,Kataja - Joventut Badalona,7,196,2853,2,97662,0,2.38,0,1.57,0,0,0
basketball,finland,korisliiga,Kouvot Kouvola - Helsinki Seagulls,7,199,2908,1,69503,69500,1.53,0,2.31,0,0,0
basketball,latvia,lbl,Valmiera/ORDO - Latvijas Universitate,7,230,2950,1,70340,70343,1.14,0,6.1,0,0,0
basketball,lithuania,lkl,Lietuvos Rytas - Lietkabelis,7,234,2951,1,70351,70354,1.32,0,3.13,0,0,0
basketball,czech-republic,zbl-women,Slovanka W - Zabiny Brno W,7,187,2841,0,68237,68241,NaN,0,NaN,0,0,1
basketball,europe,alpe-adria-cup,Usti n. Labem - Graz UBSC,7,196,2884,0,0,0,NaN,0,NaN,0,1,0
basketball,europe,fiba-europe-cup,Trabzonspor - Szolnoki Olaj,7,196,2854,1,0,0,1.18,0,4.45,0,1,0
basketball,europe,fiba-europe-cup,CSM Oradea - Balkan,7,196,2854,1,68536,0,1.33,0,3.12,0,1,0
basketball,europe,fiba-europe-cup,Pardubice - CSU Sibiu,7,196,2854,1,68548,0,1.47,0,2.55,0,1,0
basketball,lithuania,lkl,Vytautas - Alytaus Dzukija,7,234,2951,1,70355,70357,1.56,0,2.31,0,0,0
basketball,poland,super-cup,Anwil Wloclawek - Zielona Gora,7,262,2976,0,0,70666,NaN,0,NaN,0,1,0
basketball,czech-republic,zbl-women,Hradec Kralove W - Trutnov W,7,187,2841,0,68232,68240,NaN,0,NaN,0,0,1
basketball,denmark,basketligaen,Horsens - Randers,7,188,2844,2,68282,68286,NaN,0,14.22,0,0,0
basketball,latvia,lbl,BK Ogre/Kumho Sonora - VEF Riga,7,230,2950,2,70345,70337,8.3,0,1.09,0,0,0
basketball,czech-republic,zbl-women,Nymburk W - Chance U19 W,7,187,2841,0,68233,68235,NaN,0,NaN,0,0,1
basketball,denmark,basketligaen,Svendborg - Horsholm,7,188,2844,2,68283,68285,1.89,0,1.85,0,0,0
basketball,europe,fiba-europe-cup,Rabotnicki - Parma Perm,7,196,2854,2,0,0,2.78,0,1.4,0,1,0
basketball,france,lnb,Monaco - Le Mans,7,200,2910,1,69531,69537,1.22,0,4.26,0,0,0
handball,russia,superleague,Ufimochka-UGNTU - St. Petersburg,6,266,3188,0,76090,76081,NaN,NaN,NaN,0,0,0
handball,czech-republic,extraliga,Plzen - Karvina,6,187,3103,1,73828,73831,1.21,11.45,5.13,0,0,0
handball,estonia,meistriliiga,Kehra - Polva Serviti,6,194,3113,0,74058,74059,NaN,NaN,NaN,0,0,0
handball,europe,champions-league,Dinamo Bucuresti - Kadetten,6,196,3116,1,98611,74142,1.88,8.61,2.31,0,0,0
handball,europe,european-championship-women,Croatia W - Switzerland W,6,196,3115,1,74115,98600,1.05,16.1,10.75,0,0,1
