Sport,Country,League,Participants,SportId,SportIndex,CountryId,CountryIndex,LeagueId,LeagueIndex,Bet,HomeTeamId,HomeTeamIndex,AwayTeamId,AwayTeamIndex,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
basketball,europe,fiba-europe-cup,Dinamo Tbilisi - Cluj Napoca,7,6,196,40,2854,4,2,46885,88,68549,24,2.16,0.0,1.7,0,1,0,2,0.5099428231654797,-0.19013885802669225
soccer,cyprus,first-division,Anorthosis - Paphos,9,8,186,30,2104,0,1,44046,8,44050,12,1.4,4.05,6.93,0,0,0,1,0.6595860329567804,-0.19144888465126886
soccer,gibraltar,premier-division,St Josephs - Gibraltar Phoenix,9,8,206,50,2281,0,1,50229,7,50239,4,1.57,4.03,4.33,0,0,0,1,0.567200857430756,-0.19209588391879479
volleyball,italy,serie-a1,Modena - Monza,2,1,220,64,3732,0,1,51963,36,52080,47,1.1,0.0,6.77,0,0,0,1,0.8914394246458885,-0.1941663288952254
basketball,usa,nba,&nbsp;Minnesota Timberwolves - Indiana Pacers,7,6,293,137,3026,0,1,71604,21,71555,16,1.12,0.0,7.0,0,0,0,1,0.8720142768305532,-0.1945334162481686
volleyball,russia,superleague-women,Yenisey W - Dynamo Kazan W,2,1,266,110,3777,8,2,84754,3,84334,17,3.35,0.0,1.3,0,0,1,2,0.7239732259753295,-0.196116020773572
soccer,mexico,copa-mexico,Toluca - Atlante,9,8,242,86,2431,3,1,55536,3,55553,20,1.3,4.99,9.01,0,1,0,1,0.7238289242746816,-0.19674132814304632
soccer,croatia,croatian-cup,Zadar - Osijek,9,8,185,29,2102,2,2,43896,13,43891,8,11.97,7.55,1.14,0,1,0,2,0.8529967890676534,-0.19702614616339437
soccer,indonesia,liga-1,Arema FC - Gresik,9,8,215,59,2324,0,1,40340,172,51320,16,1.14,6.46,13.99,0,0,0,1,0.8526621254298912,-0.19975126435660143
soccer,philippines,pfl,Davao Aguilas - Kaya,9,8,261,105,2496,0,2,57455,0,57461,6,4.44,4.0,1.56,0,0,0,2,0.5670307349543227,-0.20612866691295822
volleyball,italy,serie-a2-women,Olbia W - Club Italia W,2,1,220,64,3738,6,2,85842,13,85812,10,2.55,0.0,1.45,0,0,1,2,0.6254172930418028,-0.20698872242085778
basketball,europe,fiba-europe-cup,Buyukcekmece - Belfius Mons,7,6,196,40,2854,4,1,68538,13,67995,6,1.23,0.0,4.19,0,1,0,1,0.7738280661458383,-0.2095281680026909
hockey,usa,nhl,&nbsp;Vegas Golden Knights - Chicago Blackhawks,5,4,293,137,3383,0,2,0,0,79809,16,3.27,4.09,1.95,0,0,0,2,0.41069251246408,-0.20963115862636217
basketball,slovakia,extraliga,Inter Bratislava - Kosice,7,6,275,119,2995,0,1,68226,17,71014,2,1.43,0.0,2.5,0,0,0,1,0.635514876874247,-0.21212494434843446
soccer,czech-republic,mol-cup,Domazlice - Mlada Boleslav,9,8,187,31,2119,9,2,44244,10,44158,3,6.23,4.43,1.4,0,1,0,2,0.6521167499815851,-0.21759137506445236
soccer,bosnia-and-herzegovina,bosnia-and-herzegovina-cup,Leotar - Zvijezda 09,9,8,173,17,2040,3,2,42416,20,88282,6,6.8,3.9,1.49,0,1,0,2,0.596938299523826,-0.2256365994071412
