Sport,Country,League,Participants,SportId,CountryId,LeagueId,Bet,HomeTeamId,AwayTeamId,HomeOdd,DrawOdd,AwayOdd,IsPlayoffs,IsCup,IsWomen,Prediction,Probability,Kelly
soccer,poland,division-1,Ruch - Legnica,9,262,2498,2,57564,57508,4.25,3.59,1.75,0,0,0,2,0.5300042437823455,-0.09665676450786058
soccer,germany,regionalliga-sudwest,FSV Frankfurt - Schott Mainz,9,204,2245,1,0,0,1.99,3.42,3.44,0,0,0,1,0.45427123581742396,-0.09696994012457208
soccer,sweden,allsvenskan,Goteborg - Sirius,9,283,2630,1,62158,62162,1.79,3.82,4.32,0,0,0,1,0.5152500294150849,-0.0983575282873393
soccer,france,ligue-2,AC Ajaccio - Bourg Peronnas,9,200,2224,1,47943,47960,1.79,3.5,4.6,0,0,0,1,0.515148649579246,-0.0985872370293034
soccer,argentina,superliga,Union de Santa Fe - Olimpo Bahia Blanca,9,160,1950,1,39725,39736,1.92,3.18,4.41,0,0,0,1,0.4733048352117428,-0.0991899091233194
soccer,germany,oberliga-bayern-sud,Kirchanschoring - Kottern-St. Mang,9,204,2259,1,49546,49556,2.23,3.58,2.55,0,0,0,1,0.39337310155089816,-0.09981949881422525
soccer,argentina,torneo-federal-a,Libertad de Sunchales - Sportivo Las Parejas,9,160,1955,1,39904,39915,2.14,3.19,2.99,0,0,0,1,0.4136825708702295,-0.10063096345413049
soccer,netherlands,eredivisie,Twente - Heracles,9,248,2444,1,55940,55935,1.93,3.69,3.82,0,0,0,1,0.4695845145542642,-0.10075471710781737
soccer,poland,ekstraklasa,Arka Gdynia - Cracovia,9,262,2497,1,57488,57481,1.96,3.33,3.99,0,0,0,1,0.4608371846601337,-0.10079074798556044
baseball,usa,mlb,Chicago White Sox - Los Angeles Angels,8,293,3460,2,81088,81073,2.05,0.0,1.82,0,0,0,2,0.5037394710236155,-0.10145629602075577
soccer,germany,oberliga-hamburg,Suderelbe - Wedeler TSV,9,204,2252,1,49246,49242,2.22,4.04,2.37,0,0,0,1,0.39428786718238545,-0.10219748758615099
soccer,denmark,superliga,Randers FC - Horsens,9,188,2126,1,44690,44688,2.02,3.29,3.92,0,0,0,1,0.4428101065278406,-0.10345449491545294
hockey,france,ligue-magnus,Nice - Grenoble,5,200,3311,2,78380,78375,2.99,4.57,1.83,0,0,0,2,0.499312599952623,-0.1039252314297589
soccer,egypt,premier-league,Al Ittihad - Alassiouty,9,191,2142,1,45206,45225,2.0,2.64,4.46,0,0,0,1,0.4479030937774147,-0.10419381244517056
soccer,germany,2-bundesliga,Ingolstadt - Darmstadt,9,204,2240,1,48658,48657,1.87,3.54,4.11,0,0,0,1,0.486258697098444,-0.10424854761598806
soccer,austria,regionalliga-east,Wiener Sportklub - First Vienna,9,165,2007,2,41520,41518,2.58,3.61,2.27,0,0,0,2,0.3821991894662904,-0.10425814166261482
soccer,scotland,premiership,Hamilton - Rangers,9,270,2553,2,59326,59333,5.94,4.39,1.5,0,0,0,2,0.6317066696713167,-0.10487999098604983
soccer,south-africa,premier-league,Maritzburg Utd - Free State Stars,9,277,2589,1,60351,60343,1.98,3.1,3.65,0,0,0,1,0.45242789587863697,-0.10631914914316207
soccer,czech-republic,1-liga,Teplice - Liberec,9,187,2110,1,44169,44157,1.86,3.41,4.23,0,0,0,1,0.48774731354385953,-0.10789534512607123
soccer,czech-republic,u19-league,Pribram U19 - Sigma Olomouc U19,9,187,2122,1,44610,44613,2.19,3.99,2.43,0,0,0,1,0.39792974338548237,-0.10801164872755768
hockey,france,ligue-magnus,Amiens - Mulhouse,5,200,3311,1,78383,78390,1.5,5.08,4.33,0,0,0,1,0.6302712771041006,-0.10918616868769826
basketball,spain,acb,Barcelona - Baskonia,7,280,3008,1,71216,71211,1.29,0.0,3.57,0,0,0,1,0.750557638247845,-0.10958843675958588
hockey,czech-republic,extraliga,Trinec - Olomouc,5,187,3257,1,77688,77689,1.35,6.1,5.94,0,0,0,1,0.7123193430005614,-0.10962539128354858
soccer,austria,regionalliga-east,Schwechat - Traiskirchen,9,165,2007,2,41512,41511,3.23,3.58,1.93,0,0,0,2,0.464777376749741,-0.11073082029354825
soccer,malta,premier-league,Floriana - Gzira,9,240,2422,1,55414,55422,1.96,3.76,3.0,0,0,0,1,0.4554333513766284,-0.11182357427271714
soccer,croatia,1-hnl,Lok. Zagreb - Belupo,9,185,2100,1,43889,43892,1.82,3.44,4.28,0,0,0,1,0.49837313735718,-0.113366939036503
soccer,france,national,Dunkerque - Concarneau,9,200,2225,1,48001,47997,1.95,3.21,3.89,0,0,0,1,0.4573687450721521,-0.11382204958874052
soccer,egypt,premier-league,Zamalek - Enppi,9,191,2142,1,45201,45209,1.51,3.44,6.79,0,0,0,1,0.6233457807057087,-0.11519190418505852
soccer,argentina,primera-b-nacional,Deportivo Riestra - Atl. Rafaela,9,160,1951,2,0,39807,3.14,2.89,2.3,0,0,0,2,0.3693235805075984,-0.11581212679424906
soccer,germany,oberliga-baden-wurttemberg,FC Nottingen - Balingen,9,204,2260,1,49624,49604,2.05,3.6,2.75,0,0,0,1,0.4279672700690967,-0.11682580605557319
soccer,slovenia,2-snl,Nafta - Ilirija,9,276,2586,1,0,0,2.17,3.58,2.71,0,0,0,1,0.3969052320772744,-0.11856038153189283
handball,norway,grundigligaen,Arendal - Halden,6,254,3173,1,75782,75792,1.59,8.22,2.82,0,0,0,1,0.5848334185571696,-0.11883875337983084
soccer,sweden,superettan,Falkenbergs - Norrby,9,283,2631,1,62195,62194,1.65,4.08,4.67,0,0,0,1,0.5590338462832547,-0.1193756209732766
soccer,germany,regionalliga-nordost,Neustrelitz - Lokomotive Leipzig,9,204,2243,2,48838,48829,4.36,3.82,1.69,0,0,0,2,0.542627152613237,-0.1202320464980138
soccer,africa,caf-champions-league,USM Alger - Wydad,9,156,1929,1,39051,39021,2.01,2.98,3.77,0,0,0,1,0.4369296194726985,-0.12056580679195657
soccer,austria,erste-liga,Ried - Liefering,9,165,2006,1,41503,41469,1.82,3.66,4.02,0,0,0,1,0.49491075169146065,-0.12105174624578244
hockey,switzerland,swiss-league,Ajoie - Thurgau,5,284,3381,1,79742,79746,1.51,5.15,4.17,0,0,0,1,0.6212044799742323,-0.12153183380178273
soccer,oman,professional-league,Al Suwaiq - Al Nasr,9,255,2485,1,57231,57237,1.91,3.21,3.63,0,0,0,1,0.4647483072084026,-0.12344036618895725
soccer,saudi-arabia,saudi-professional-league,Al Feiha - Ohud,9,269,2550,1,0,0,1.73,3.64,3.97,0,0,0,1,0.5254639053314837,-0.12458553941990848
soccer,algeria,ligue-1,Oran - Bel Abbes,9,158,1945,1,39585,39578,1.81,3.0,4.52,0,0,0,1,0.49665625385855505,-0.12475577841483367
soccer,ireland,premier-division,Derry City - Drogheda,9,218,2332,1,51584,51581,1.32,5.05,8.75,0,0,0,1,0.7269041914020711,-0.1265202104664565
rugby-union,england,aviva-premiership-rugby,Sale Sharks - Gloucester,3,193,3516,1,81830,81827,1.55,20.12,2.53,0,0,0,1,0.5996983837256579,-0.12812273677314592
soccer,germany,regionalliga-bayern,Rosenheim - Pipinsried,9,204,2246,1,48999,48985,1.64,3.89,4.75,0,0,0,1,0.5589983471418113,-0.1300667354491086
soccer,united-arab-emirates,uae-league,Emirates Club - Hatta,9,296,2704,1,64691,64693,1.81,3.99,3.33,0,0,0,1,0.49354654141431975,-0.1317046420247916
soccer,italy,serie-c-group-c,Matera - Paganese,9,220,2346,1,52161,52164,1.73,3.44,4.34,0,0,0,1,0.5224273688115267,-0.13178171500829966
soccer,northern-ireland,nifl-championship,Limavady - Institute,9,253,2469,2,56600,56580,3.5,3.6,1.8,0,0,0,2,0.4967063437452004,-0.13241072657329905
soccer,bolivia,liga-de-futbol-prof,Blooming - Wilstermann,9,172,2036,1,42377,42383,1.84,3.35,3.92,0,0,0,1,0.4829714727245183,-0.13253867879391223
soccer,cyprus,division-2,Anagennisi Derynia - Paralimni,9,186,2105,1,44077,44066,1.91,3.5,3.25,0,0,0,1,0.45945942450243116,-0.13454120791247967
soccer,bulgaria,parva-liga,Vereya - Slavia Sofia,9,176,2071,1,43172,43182,1.86,3.42,3.71,0,0,0,1,0.47524443415275003,-0.13493645636730797
soccer,argentina,primera-d-metropolitana,Juventud Unida S. M. - Claypole,9,160,1954,1,39882,39890,1.83,3.0,4.2,0,0,0,1,0.4847726636122953,-0.13598316336084282
handball,world,friendly-international-women,France W - Brazil W,6,302,3221,1,76867,76870,1.57,8.75,2.85,0,0,1,1,0.5863612576694897,-0.1393207464191248
american-football,usa,ncaa,Iowa State - Texas,1,293,3488,2,81453,81445,2.62,0.0,1.48,0,0,0,2,0.6302534413167368,-0.14005188927339504
volleyball,europe,european-championships-women,Russia W - Turkey W,2,196,3681,1,84166,84167,1.39,0.0,2.91,0,0,1,1,0.6799676114337595,-0.1406282566848061
soccer,oman,professional-league,Al Oruba - Sohar,9,255,2485,1,57230,57238,1.72,3.4,4.26,0,0,0,1,0.5223952314529312,-0.14094472486244208
soccer,china,fa-cup,Shanghai Shenxin - Shanghai Shenhua,9,182,2090,2,43666,43665,4.3,4.18,1.62,0,1,0,2,0.5633054203503642,-0.14104067585872557
basketball,germany,bbl,Basketball Braunschweig - Bremerhaven,7,204,2917,2,69705,69702,2.16,0.0,1.69,0,0,0,2,0.5338315283462323,-0.1417749523114022
soccer,kuwait,premier-league,Al Arabi - Kazma SC,9,228,2397,1,54931,54927,1.8,3.8,3.42,0,0,0,1,0.49176256829588455,-0.1435342213342597
soccer,serbia,super-liga,Vojvodina - Mladost,9,272,2565,1,59664,59663,1.56,3.43,5.59,0,0,0,1,0.5894390746405825,-0.14370543492980578
soccer,finland,ykkonen,Gnistan - GrIFK,9,199,2211,1,47465,47460,1.59,4.11,4.83,0,0,0,1,0.5754753953746207,-0.14405783280398834
soccer,brazil,brasileiro-u20,Cruzeiro U20 - Atletico-PR U20,9,175,2070,1,43155,43152,1.83,3.37,3.69,0,0,0,1,0.48060473603827625,-0.14517269042163186
soccer,germany,regionalliga-west,Wegberg-Beeck - B. Monchengladbach II,9,204,2244,2,48895,48873,4.5,3.95,1.63,0,0,0,2,0.5572434864068015,-0.14554463040779927
soccer,netherlands,eerste-divisie,Cambuur - Waalwijk,9,248,2445,1,55963,55966,1.28,5.62,9.16,0,0,0,1,0.7493000705922643,-0.14605682014964855
