Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money,Season
basketball,asia,asia-challenge,1.30,11,8,1.2618,0.7273,-0.84,-0.0764,-0.2917,
basketball,asia,asia-challenge,1.40,9,6,1.3456,0.6667,-0.96,-0.1067,-0.3087,
basketball,asia,asia-challenge,1.50,9,2,1.4633,0.2222,-6.1,-0.6778,-1.4628,
basketball,asia,asia-champions-cup,1.10,23,23,1.0430,1.0000,0.990000000000001,0.0430,1.0000,
basketball,asia,asia-champions-cup,1.20,8,6,1.1550,0.7500,-1.12,-0.1400,-0.9032,
basketball,asia,asia-champions-cup,1.30,9,8,1.2611,0.8889,1.1,0.1222,0.4681,
basketball,asia,asia-champions-cup,1.40,11,8,1.3600,0.7273,-0.03,-0.0027,-0.0076,
basketball,asia,asia-champions-cup,1.50,10,9,1.4620,0.9000,3.17,0.3170,0.6861,
basketball,asia,asia-championship-u18,1.10,34,30,1.0571,0.8824,-2.24,-0.0659,-1.1546,
basketball,asia,asia-championship-u18,1.20,26,12,1.1519,0.4615,-12.17,-0.4681,-3.0810,
basketball,asia,asia-championship-u18,1.30,17,14,1.2600,0.8235,0.54,0.0318,0.1222,
basketball,asia,asia-championship-u18,1.40,4,4,1.3575,1.0000,1.43,0.3575,1.0000,
basketball,asia,asia-championship-u18,1.50,6,3,1.4450,0.5000,-1.69,-0.2817,-0.6330,
basketball,asia,asia-cup-women,1.10,28,25,1.0371,0.8929,-2.24,-0.0800,-2.1538,
basketball,asia,asia-cup-women,1.20,8,6,1.1588,0.7500,-1.07,-0.1338,-0.8425,
basketball,asia,asia-cup-women,1.30,6,3,1.2367,0.5000,-2.34,-0.3900,-1.6479,
basketball,asia,asia-cup-women,1.40,8,3,1.3363,0.3750,-3.99,-0.4988,-1.4833,
basketball,asia,asia-cup-women,1.50,1,0,1.5000,0.0000,-1,-1.0000,-2.0000,
basketball,asia,asia-cup,1.10,205,199,1.0357,0.9707,1.15,0.0056,0.1573,
basketball,asia,asia-cup,1.20,54,47,1.1331,0.8704,-0.84,-0.0156,-0.1168,
basketball,asia,asia-cup,1.30,33,27,1.2558,0.8182,0.86,0.0261,0.1019,
basketball,asia,asia-cup,1.40,32,23,1.3600,0.7188,-0.87,-0.0272,-0.0755,
basketball,asia,asia-cup,1.50,26,18,1.4592,0.6923,0.279999999999999,0.0108,0.0235,
basketball,asia,asian-games-women,1.10,3,3,1.0367,1.0000,0.11,0.0367,1.0000,
basketball,asia,asian-games-women,1.20,3,3,1.1433,1.0000,0.43,0.1433,1.0000,
basketball,asia,asian-games-women,1.30,2,1,1.2600,0.5000,-0.76,-0.3800,-1.4615,
basketball,asia,asian-games-women,1.40,1,1,1.3500,1.0000,0.35,0.3500,1.0000,
basketball,asia,asian-games-women,1.50,1,1,1.4900,1.0000,0.49,0.4900,1.0000,
basketball,asia,asian-games,1.10,29,24,1.0393,0.8276,-4.16,-0.1434,-3.6491,
basketball,asia,asian-games,1.20,15,13,1.1353,0.8667,-0.319999999999999,-0.0213,-0.1576,
basketball,asia,asian-games,1.30,10,7,1.2520,0.7000,-1.21,-0.1210,-0.4802,
basketball,asia,asian-games,1.40,4,2,1.3650,0.5000,-1.34,-0.3350,-0.9178,
basketball,asia,asian-games,1.50,4,3,1.4725,0.7500,0.39,0.0975,0.2063,
basketball,asia,eaba-championship,1.10,2,1,1.0750,0.5000,-0.9,-0.4500,-6.0000,
basketball,asia,eaba-championship,1.30,2,1,1.2450,0.5000,-0.77,-0.3850,-1.5714,
basketball,asia,eaba-championship,1.40,1,0,1.3800,0.0000,-1,-1.0000,-2.6316,
basketball,asia,eaba-championship,1.50,1,0,1.4600,0.0000,-1,-1.0000,-2.1739,
basketball,asia,seaba-championship-women,1.10,2,2,1.0350,1.0000,0.0700000000000001,0.0350,1.0000,
basketball,asia,seaba-championship-women,1.30,1,0,1.2300,0.0000,-1,-1.0000,-4.3478,
basketball,asia,seaba-championship,1.10,4,4,1.0500,1.0000,0.2,0.0500,1.0000,
