Sport,Country,League Name,Margin,Total Records,Success Records,Avg. Odd,Success Rate,Money Made,Money Per Game,Rate Of Available Money
soccer,germany,oberliga-niedersachsen,1.50,25,20,1.4640,0.8000,4.4,0.1760,0.3793
soccer,germany,oberliga-nofv-sud,1.50,25,20,1.4500,0.8000,4.2,0.1680,0.3733
soccer,germany,oberliga-schleswig-holstein,1.50,88,75,1.4553,0.8523,21.07,0.2394,0.5258
soccer,germany,regionalliga-sudwest,1.20,28,28,1.1550,1.0000,4.34,0.1550,1.0000
soccer,germany,regionalliga-sudwest,1.50,42,42,1.4350,1.0000,18.27,0.4350,1.0000
soccer,greece,football-league,1.20,41,41,1.1695,1.0000,6.95,0.1695,1.0000
soccer,greece,greek-cup,1.20,22,21,1.1605,0.9545,2.35,0.1068,0.6657
soccer,greece,greek-cup,1.30,36,32,1.2492,0.8889,3.9,0.1083,0.4348
soccer,greece,super-league,1.20,21,21,1.1429,1.0000,3,0.1429,1.0000
soccer,greece,super-league,1.30,54,48,1.2548,0.8889,6.5,0.1204,0.4724
soccer,greece,super-league,1.40,106,88,1.3385,0.8302,12.06,0.1138,0.3361
soccer,hungary,otp-bank-liga,1.50,46,37,1.4330,0.8043,6.8,0.1478,0.3414
soccer,iceland,icelandic-cup,1.40,23,20,1.3513,0.8696,4.01,0.1743,0.4963
soccer,iceland,inkasso-deildin,1.50,24,21,1.4592,0.8750,6.64,0.2767,0.6025
soccer,iceland,pepsideild,1.50,34,28,1.4626,0.8235,6.73,0.1979,0.4278
soccer,indonesia,liga-1,1.40,26,21,1.3562,0.8077,2.66,0.1023,0.2873
soccer,ireland,division-1,1.40,54,51,1.3472,0.9444,14.73,0.2728,0.7856
soccer,ireland,premier-division,1.40,45,37,1.3731,0.8222,5.71000000000001,0.1269,0.3401
soccer,italy,serie-a,1.30,67,64,1.2560,0.9552,13.4,0.2000,0.7813
soccer,italy,serie-a,1.50,80,64,1.4670,0.8000,13.84,0.1730,0.3704
soccer,italy,serie-b,1.20,60,60,1.1467,1.0000,8.8,0.1467,1.0000
soccer,japan,j-league,1.50,28,28,1.4500,1.0000,12.6,0.4500,1.0000
soccer,kazakhstan,premier-league,1.40,44,40,1.3405,0.9091,9.74000000000001,0.2214,0.6502
soccer,kazakhstan,premier-league,1.50,22,19,1.4364,0.8636,5.34,0.2427,0.5562
soccer,kuwait,premier-league,1.30,51,49,1.2537,0.9608,10.42,0.2043,0.8053
soccer,luxembourg,national-division,1.40,44,36,1.3700,0.8182,5.28,0.1200,0.3243
soccer,malaysia,premier-league,1.50,30,24,1.4490,0.8000,4.89,0.1630,0.3630
soccer,malta,division-1,1.40,29,25,1.3641,0.8621,5.04,0.1738,0.4773
soccer,malta,division-1,1.50,22,17,1.4459,0.7727,2.61,0.1186,0.2661
soccer,malta,premier-league,1.40,70,62,1.3576,0.8857,14.27,0.2039,0.5701
soccer,moldova,divizia-nationala,1.30,72,63,1.2613,0.8750,7.73,0.1074,0.4110
soccer,netherlands,eerste-divisie,1.40,53,46,1.3732,0.8679,9.98000000000001,0.1883,0.5046
soccer,new-zealand,football-championship,1.30,26,24,1.2662,0.9231,4.32,0.1662,0.6243
soccer,new-zealand,football-championship,1.40,30,26,1.3560,0.8667,5.22,0.1740,0.4888
soccer,new-zealand,football-championship,1.50,34,26,1.4512,0.7647,3.84,0.1129,0.2503
soccer,northern-ireland,nifl-premiership,1.40,55,50,1.3755,0.9091,13.65,0.2482,0.6610
soccer,norway,division-2-group-2,1.30,24,24,1.2550,1.0000,6.12,0.2550,1.0000
soccer,norway,division-2-group-2,1.40,37,33,1.3573,0.8919,7.62000000000001,0.2059,0.5764
soccer,norway,division-2-group-3,1.50,32,28,1.4663,0.8750,9.2,0.2875,0.6166
soccer,norway,division-2-group-4,1.40,20,20,1.3580,1.0000,7.16,0.3580,1.0000
soccer,norway,division-2-group-4,1.50,50,38,1.4530,0.7600,5.33,0.1066,0.2353
soccer,norway,obos-ligaen,1.40,20,20,1.3725,1.0000,7.45,0.3725,1.0000
soccer,norway,toppserien-women,1.40,47,39,1.3596,0.8298,6.01,0.1279,0.3556
soccer,poland,ekstraklasa,1.50,29,24,1.4690,0.8276,6.5,0.2241,0.4779
soccer,portugal,primeira-liga,1.20,21,21,1.1867,1.0000,3.92,0.1867,1.0000
soccer,portugal,segunda-liga,1.40,22,22,1.3200,1.0000,7.04,0.3200,1.0000
soccer,portugal,taca-de-portugal,1.20,29,29,1.1548,1.0000,4.49,0.1548,1.0000
soccer,romania,liga-1,1.20,37,37,1.1881,1.0000,6.96,0.1881,1.0000
soccer,romania,liga-1,1.40,48,41,1.3492,0.8542,7.45,0.1552,0.4445
soccer,romania,liga-1,1.50,74,67,1.4538,0.9054,23.08,0.3119,0.6873
soccer,romania,liga-2-serie-2,1.30,22,22,1.2723,1.0000,5.99,0.2723,1.0000
soccer,romania,liga-2-serie-2,1.40,25,25,1.3500,1.0000,8.75,0.3500,1.0000
soccer,romania,romanian-cup,1.30,27,25,1.2704,0.9259,4.72,0.1748,0.6466
soccer,russia,division-1,1.20,34,34,1.1509,1.0000,5.13,0.1509,1.0000
soccer,russia,division-1,1.50,50,42,1.4568,0.8400,11.16,0.2232,0.4886
soccer,russia,division-2-south,1.40,30,30,1.3460,1.0000,10.38,0.3460,1.0000
soccer,russia,division-2-ural-povolzhye,1.30,24,24,1.2629,1.0000,6.31,0.2629,1.0000
soccer,russia,division-2-west,1.30,45,40,1.2498,0.8889,5.09,0.1131,0.4528
soccer,saudi-arabia,saudi-professional-league,1.40,46,38,1.3533,0.8261,5.21,0.1133,0.3206
soccer,scotland,betfred-cup,1.40,24,20,1.3579,0.8333,3.16,0.1317,0.3679
soccer,scotland,championship,1.40,22,18,1.3482,0.8182,2.26,0.1027,0.2950
soccer,scotland,league-one,1.40,24,20,1.3667,0.8333,3.36,0.1400,0.3818
soccer,scotland,league-two,1.50,28,22,1.4493,0.7857,3.96,0.1414,0.3148
soccer,slovakia,2-liga-west,1.50,20,20,1.4650,1.0000,9.3,0.4650,1.0000
soccer,slovakia,slovak-cup,1.40,35,30,1.3491,0.8571,5.35,0.1529,0.4378
soccer,spain,laliga,1.20,32,32,1.1725,1.0000,5.52,0.1725,1.0000
soccer,spain,laliga,1.50,64,56,1.4563,0.8750,17.2,0.2688,0.5890
soccer,spain,laliga2,1.30,20,20,1.2650,1.0000,5.3,0.2650,1.0000
soccer,spain,segunda-division-b-group-4,1.50,33,25,1.4588,0.7576,3.62,0.1097,0.2391
soccer,sweden,allsvenskan,1.50,28,23,1.4579,0.8214,5.72,0.2043,0.4462
soccer,sweden,division-1-norra,1.40,28,28,1.3514,1.0000,9.84,0.3514,1.0000
soccer,sweden,division-1-norra,1.50,34,32,1.4482,0.9412,12.36,0.3635,0.8110
soccer,sweden,division-1-sodra,1.40,20,20,1.3460,1.0000,6.92,0.3460,1.0000
soccer,sweden,division-2-norra-gotaland,1.50,26,23,1.4627,0.8846,7.59,0.2919,0.6309
soccer,sweden,division-2-norra-svealand,1.50,28,28,1.4550,1.0000,12.74,0.4550,1.0000
soccer,sweden,superettan,1.40,20,20,1.3525,1.0000,7.05,0.3525,1.0000
soccer,sweden,superettan,1.50,35,35,1.4486,1.0000,15.7,0.4486,1.0000
soccer,switzerland,challenge-league,1.50,27,23,1.4522,0.8519,6.49,0.2404,0.5315
soccer,switzerland,super-league,1.40,20,20,1.3600,1.0000,7.2,0.3600,1.0000
soccer,thailand,thai-premier-league,1.30,21,21,1.2776,1.0000,5.83,0.2776,1.0000
soccer,thailand,thai-premier-league,1.40,52,44,1.3488,0.8462,7.42000000000001,0.1427,0.4090
soccer,tunisia,ligue-professionnelle-1,1.50,45,36,1.4656,0.8000,7.7,0.1711,0.3675
soccer,turkey,super-lig,1.20,27,27,1.1611,1.0000,4.35,0.1611,1.0000
soccer,turkey,super-lig,1.50,76,62,1.4636,0.8158,14.51,0.1909,0.4119
soccer,turkey,tff-1-lig,1.20,21,21,1.1767,1.0000,3.71,0.1767,1.0000
soccer,turkey,tff-1-lig,1.50,49,49,1.4386,1.0000,21.49,0.4386,1.0000
soccer,ukraine,persha-liga,1.40,34,28,1.3450,0.8235,3.75000000000001,0.1103,0.3197
soccer,ukraine,premier-league,1.40,57,50,1.3598,0.8772,10.91,0.1914,0.5319
soccer,ukraine,ukrainian-cup,1.50,22,18,1.4623,0.8182,4.27,0.1941,0.4199
soccer,uruguay,primera-division,1.40,45,40,1.3902,0.8889,10.56,0.2347,0.6014
soccer,uruguay,primera-division,1.50,67,56,1.4515,0.8358,14.35,0.2142,0.4744
soccer,uzbekistan,professional-football-league,1.40,33,29,1.3658,0.8788,6.71,0.2033,0.5559
soccer,venezuela,primera-division,1.50,22,22,1.4773,1.0000,10.5,0.4773,1.0000
soccer,wales,premier-league,1.20,21,21,1.1414,1.0000,2.97,0.1414,1.0000
soccer,wales,premier-league,1.30,32,32,1.2613,1.0000,8.36,0.2613,1.0000
soccer,world,club-friendly,1.30,99,88,1.2467,0.8889,10.23,0.1033,0.4189
soccer,world,friendly-international,1.20,22,22,1.1773,1.0000,3.9,0.1773,1.0000
soccer,world,friendly-international,1.40,45,45,1.3624,1.0000,16.31,0.3624,1.0000
soccer,world,world-cup,1.20,35,35,1.1537,1.0000,5.38,0.1537,1.0000
soccer,world,world-cup,1.40,22,22,1.3750,1.0000,8.24999999999999,0.3750,1.0000
